sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
all,4096,8,128<c<=256,2,2<c<=4,-3085634740537,-44.90189516999817,-0.9971272825572394
all,4096,8,128<c<=256,3,4<c<=8,-1706209677735,-24.828618592218845,-0.9972227486855167
all,4096,8,128<c<=256,4,8<c<=16,730347599881,10.627956360709504,0.9973945425949591
all,4096,8,128<c<=256,5,16<c<=32,-1339231062683,-19.48837689535867,-0.9974674219045109
all,4096,8,128<c<=256,6,32<c<=64,888894968075,12.935124222349259,0.997610455314328
all,4096,8,128<c<=256,7,64<c<=128,-193620353712,-2.817546973703429,-0.9970427677728461
all,4096,8,128<c<=256,8,128<c<=256,73565247734,1.0705152487789746,1.0
all,4096,8,128<c<=256,9,256<c<=512,-103763544723,-1.5099583066039486,-0.9774425349468122
all,4096,8,128<c<=256,10,512<c<=1024,107565882379,1.5652896018436877,0.9494415808937704
all,4096,8,128<c<=256,11,1024<c<=2048,302826138006,4.406700289197033,0.9661496298308041
all,4096,8,128<c<=256,12,2048<c<=4096,362393509157,5.2735196245630505,0.9505699396761083
all,4096,8,128<c<=256,13,4096<c<=8192,142756799243,2.077384840857121,0.7111729746880094
all,4096,8,128<c<=256,14,8192<c<=16384,-185044200252,-2.692747515568044,-0.9852261925387978
all,4096,8,128<c<=256,15,16384<c<=32768,-82436116886,-1.1996033846808132,-0.9304972519583697
all,4096,8,128<c<=256,16,32768<c<=65536,-17502242639,-0.25469115118903574,-0.545303694009236
all,4096,8,128<c<=256,17,65536<c<=131072,21436060728,0.3119357385439798,0.8809156529771981
all,4096,8,128<c<=256,18,131072<c<=262144,32987401,0.0004800298629561439,0.018841498035216543
all,4096,8,128<c<=256,19,262144<c<=524288,-235845349,-0.003432001525652595,-0.5553131966150318
all,4096,8,128<c<=256,20,524288<c<=1048576,1237627,1.8009843188337982e-05,0.135145316210011
all,4096,9,256<c<=512,0,c=1,-12303545287935,-179.04014803840255,-0.9906419651550775
all,4096,9,256<c<=512,1,1<c<=2,6447340593849,93.82115377009904,0.9904766937269616
all,4096,9,256<c<=512,2,2<c<=4,4422553496681,64.35662357661931,0.9903719127071751
all,4096,9,256<c<=512,3,4<c<=8,2444800611199,35.576531244427315,0.9901987140956062
all,4096,9,256<c<=512,4,8<c<=16,-1045988056322,-15.221129525481956,-0.9898815806743105
all,4096,9,256<c<=512,5,16<c<=32,1917584584869,27.90452832223673,0.989730314400282
all,4096,9,256<c<=512,6,32<c<=64,-1272220974993,-18.51325177984836,-0.9894463077937902
all,4096,9,256<c<=512,7,64<c<=128,277557939869,4.038999611933832,0.9904568734629193
all,4096,9,256<c<=512,8,128<c<=256,-103763544723,-1.5099583066039486,-0.9774425349468122
all,4096,9,256<c<=512,9,256<c<=512,153191415453,2.2292284913855838,1.0
all,4096,9,256<c<=512,10,512<c<=1024,-142519450551,-2.0739309628115734,-0.8717400105518427
all,4096,9,256<c<=512,11,1024<c<=2048,-416713125821,-6.063974081494962,-0.9213133210439514
all,4096,9,256<c<=512,12,2048<c<=4096,-539802194726,-7.855155777739128,-0.9811997937986797
all,4096,9,256<c<=512,13,4096<c<=8192,-228243951408,-3.321386632276699,-0.7879467277990804
