sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
high_lambda_16,4096,3,4<c<=8,17,65536<c<=131072,-511971761335,-7.450169670264586,-0.9046444060843105
high_lambda_16,4096,3,4<c<=8,18,131072<c<=262144,-1491647772,-0.021706331928726286,-0.036633309879451126
high_lambda_16,4096,3,4<c<=8,19,262144<c<=524288,5732029993,0.08341201454459224,0.5803121703176826
high_lambda_16,4096,3,4<c<=8,20,524288<c<=1048576,-30494529,-0.0004437538009369746,-0.14317780484608245
high_lambda_16,4096,4,8<c<=16,0,c=1,85649507254753,1246.3643689225573,0.9999800657680215
high_lambda_16,4096,4,8<c<=16,1,1<c<=2,-44889904963690,-653.2340916410612,-0.9999879805947274
high_lambda_16,4096,4,8<c<=16,2,2<c<=4,-30795445194663,-448.1327078925533,-0.9999919057731477
high_lambda_16,4096,4,8<c<=16,3,4<c<=8,-17026765377271,-247.77204638333933,-0.999996535264703
high_lambda_16,4096,4,8<c<=16,4,8<c<=16,7285841239786,106.02294408870512,1.0
high_lambda_16,4096,4,8<c<=16,5,16<c<=32,-13361110976225,-194.42975428282807,-0.9999986838210106
high_lambda_16,4096,4,8<c<=16,6,32<c<=64,8860156528518,128.93224671305506,0.9999952737254562
high_lambda_16,4096,4,8<c<=16,7,64<c<=128,-1938355612293,-28.20678655251686,-0.9999890422795092
high_lambda_16,4096,4,8<c<=16,8,128<c<=256,720310828822,10.48190211909241,0.9980410812487589
high_lambda_16,4096,4,8<c<=16,9,256<c<=512,-1059357765845,-15.415684405088541,-0.9913979984547764
high_lambda_16,4096,4,8<c<=16,10,512<c<=1024,1024638018383,14.910445583271212,0.9300431445784711
high_lambda_16,4096,4,8<c<=16,11,1024<c<=2048,2947045011157,42.88514917653811,0.9555731189998294
high_lambda_16,4096,4,8<c<=16,12,2048<c<=4096,3642669261045,53.00781429170456,0.9654134150722615
high_lambda_16,4096,4,8<c<=16,13,4096<c<=8192,1482680234490,21.575837083073566,0.7422028365685125
high_lambda_16,4096,4,8<c<=16,14,8192<c<=16384,-1858948125444,-27.051255535392556,-0.994544548766026
high_lambda_16,4096,4,8<c<=16,15,16384<c<=32768,-837867523642,-12.192577176640043,-0.9503190272493401
high_lambda_16,4096,4,8<c<=16,16,32768<c<=65536,-184090425837,-2.678868271133979,-0.5763316111740484
high_lambda_16,4096,4,8<c<=16,17,65536<c<=131072,218836131739,3.1844848379696487,0.9036596209911547
high_lambda_16,4096,4,8<c<=16,18,131072<c<=262144,616300485,0.008968352412921377,0.03537173299966576
high_lambda_16,4096,4,8<c<=16,19,262144<c<=524288,-2446998049,-0.035608508173027076,-0.5789496561472133
high_lambda_16,4096,4,8<c<=16,20,524288<c<=1048576,12989002,0.0001890148560050875,0.1425225244305001
high_lambda_16,4096,5,16<c<=32,0,c=1,-157066697502167,-2285.6212672510737,-0.9999704051051237
high_lambda_16,4096,5,16<c<=32,1,1<c<=2,82320657047022,1197.9232228917244,0.9999803889828066
high_lambda_16,4096,5,16<c<=32,2,2<c<=4,56473820235806,821.8022446934774,0.9999855530532753
high_lambda_16,4096,5,16<c<=32,3,4<c<=8,31224375532504,454.3744658076903,0.9999923231009913
high_lambda_16,4096,5,16<c<=32,4,8<c<=16,-13361110976225,-194.42975428282807,-0.9999986838210106
high_lambda_16,4096,5,16<c<=32,5,16<c<=32,24502284715147,356.555170076128,1.0
high_lambda_16,4096,5,16<c<=32,6,32<c<=64,-16248234892626,-236.44293676808593,-0.9999983941145122
high_lambda_16,4096,5,16<c<=32,7,64<c<=128,3554650575874,51.72697384658386,0.9999890895509698
high_lambda_16,4096,5,16<c<=32,8,128<c<=256,-1321034247678,-19.223578385979636,-0.9981116203539809
high_lambda_16,4096,5,16<c<=32,9,256<c<=512,1942397565319,28.265604710308253,0.9912428529116335
high_lambda_16,4096,5,16<c<=32,10,512<c<=1024,-1880002143973,-27.35763182824303,-0.9305239064272276
high_lambda_16,4096,5,16<c<=32,11,1024<c<=2048,-5406535679003,-78.67544887999247,-0.9559447432250493
high_lambda_16,4096,5,16<c<=32,12,2048<c<=4096,-6678360031701,-97.18292904582631,-0.9651614727758999
high_lambda_16,4096,5,16<c<=32,13,4096<c<=8192,-2716130720258,-39.524903990357416,-0.7414166591709436
high_lambda_16,4096,5,16<c<=32,14,8192<c<=16384,3408570207219,49.60122470538772,0.9944106685576347
high_lambda_16,4096,5,16<c<=32,15,16384<c<=32768,1535836936674,22.349368907074677,0.9498952949163298
high_lambda_16,4096,5,16<c<=32,16,32768<c<=65536,337097454328,4.9054135790793225,0.5754840245970179
high_lambda_16,4096,5,16<c<=32,17,65536<c<=131072,-401065582005,-5.836272350352374,-0.9031040755910232
high_lambda_16,4096,5,16<c<=32,18,131072<c<=262144,-1116962962,-0.016253950336249545,-0.03495740304159772
high_lambda_16,4096,5,16<c<=32,19,262144<c<=524288,4483053610,0.06523701609694399,0.5783858644207789
high_lambda_16,4096,5,16<c<=32,20,524288<c<=1048576,-23808373,-0.0003464574256213382,-0.1424537877151505
high_lambda_16,4096,6,32<c<=64,0,c=1,104154598999943,1515.6488952917134,0.9999566699241467
high_lambda_16,4096,6,32<c<=64,1,1<c<=2,-54588873733821,-794.372662986585,-0.9999688804883339
high_lambda_16,4096,6,32<c<=64,2,2<c<=4,-37449247451974,-544.958274287259,-0.9999754762721245
high_lambda_16,4096,6,32<c<=64,3,4<c<=8,-20705735712782,-301.30811083337176,-0.999984495914569
high_lambda_16,4096,6,32<c<=64,4,8<c<=16,8860156528518,128.93224671305506,0.9999952737254562
high_lambda_16,4096,6,32<c<=64,5,16<c<=32,-16248234892626,-236.44293676808593,-0.9999983941145122
high_lambda_16,4096,6,32<c<=64,6,32<c<=64,10774749706864,156.7932443411555,1.0
high_lambda_16,4096,6,32<c<=64,7,64<c<=128,-2357190712708,-34.30163942842046,-0.9999833362172605
high_lambda_16,4096,6,32<c<=64,8,128<c<=256,876097627009,12.74889840000833,0.9981992398744669
high_lambda_16,4096,6,32<c<=64,9,256<c<=512,-1287828316460,-18.74036848981632,-0.9910592281004653
high_lambda_16,4096,6,32<c<=64,10,512<c<=1024,1247420527544,18.152357770944946,0.9310687984109147
high_lambda_16,4096,6,32<c<=64,11,1024<c<=2048,3586819803783,52.19509772407764,0.9563634515376036
high_lambda_16,4096,6,32<c<=64,12,2048<c<=4096,4427539698358,64.42918236073456,0.9649222233561799
high_lambda_16,4096,6,32<c<=64,13,4096<c<=8192,1798783280600,26.175741813494824,0.7404405769885809
high_lambda_16,4096,6,32<c<=64,14,8192<c<=16384,-2259985833147,-32.887122261265176,-0.9942576560031189
high_lambda_16,4096,6,32<c<=64,15,16384<c<=32768,-1017944819294,-14.813046717521502,-0.9494116589033591
high_lambda_16,4096,6,32<c<=64,16,32768<c<=65536,-223120458483,-3.2468299975589616,-0.5744032503335935
