N,C,R_C_X_N,V_C,V_C_over_N3,V_C_over_V_1,V_C_over_V_total
512,16384,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,32768,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,65536,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,131072,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,262144,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,524288,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,1048576,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,2097152,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,4194304,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,8388608,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
512,16777216,38,998791,0.007441572844982147,1.6850166929593432e-05,1.0
1024,1,-82173,1484164156813,1382.235583675094,1.0,140281.34611085104
1024,2,-38710,328144567241,305.60844320897013,0.22109721875081315,31015.81546772936
1024,4,-8722,16149136843,15.04005570244044,0.010880964055672678,1526.396284713548
1024,8,8022,14937561128,13.911687888205051,0.010064628672933304,1411.879658344952
1024,16,771,190480871,0.17739913519471884,0.00012834218514549397,18.004014495017962
1024,32,14214,45993624780,42.83490104600787,0.030989580612675482,4347.260083756848
1024,64,5192,6139157407,5.717535882256925,0.004136440958244698,580.2655057306248
1024,128,7080,10971720513,10.218210996128619,0.007392524918914615,1037.033346783352
1024,256,5935,6969666882,6.4910081047564745,0.004696021562039485,658.7642260884803
1024,512,5683,4757061659,4.4303589118644595,0.0032052126020985527,449.6315383938485
1024,1024,390,570082913,0.5309310862794518,0.0003841104168855283,53.88352633590207
1024,2048,-2956,1536673658,1.4311388675123453,0.0010353798472668653,145.24447871064322
1024,4096,-428,46549442,0.04335254617035389,3.136407909213851e-05,4.399795234572389
1024,8192,397,16676994,0.015531660988926888,1.1236623606253313e-05,1.5762886852261802
1024,16384,359,10724060,0.009987559169530869,7.22565623942042e-06,1.0136247838001662
1024,32768,278,10559108,0.009833935648202896,7.114514894817268e-06,0.9980337263706661
1024,65536,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,131072,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,262144,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,524288,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,1048576,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,2097152,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,4194304,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,8388608,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
1024,16777216,288,10579911,0.009853309951722622,7.1285315383970936e-06,1.0
2048,1,-296211,38231064196324,4450.6816422012635,1.0,523793.52078359085
2048,2,-140462,8565392235546,997.1428936750162,0.224042736335066,117352.13367093395
2048,4,-33384,470533090071,54.77726111083757,0.01230761162322661,6446.647224566912
2048,8,26030,313119112505,36.451862252433784,0.008190175164810272,4289.9606854102985
2048,16,505,666929345,0.07764079433400184,1.744469736900828e-05,9.137419453917092
2048,32,47507,1023868263468,119.1939534000121,0.026781055798243962,14027.743506864004
2048,64,16196,122765931504,14.291835425421596,0.0032111565315988302,1681.9829854733755
2048,128,22976,241338204175,28.09546470816713,0.0063126206201240195,3306.5097799858545
2048,256,20176,180434461099,21.005335857509635,0.004719577257186296,2472.0839881517722
2048,512,23076,217717907443,25.34570026246365,0.005694790663555059,2982.894451789026
2048,1024,16783,84910344920,9.88486513029784,0.002220977801820236,1163.3337823976217
2048,2048,-2747,32506061367,3.7842035953653976,0.0008502525904085487,445.3567978854621
2048,4096,-7949,20322626934,2.3658651548903435,0.0005315736655835509,278.43484185184724
2048,8192,-4646,5129797627,0.5971870416542515,0.00013417878196268575,70.28197661868894
2048,16384,645,384481743,0.04475956584792584,1.0056788924985476e-05,5.2676808787955665
2048,32768,934,136770332,0.01592216221615672,3.577465991991684e-06,1.8738535074288856
2048,65536,216,74045812,0.008620067033916712,1.9367970407457207e-06,1.014481741015441
2048,131072,264,73035063,0.00850240036379546,1.9103591421089053e-06,1.0006337410063437
2048,262144,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
2048,524288,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
2048,1048576,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
2048,2097152,263,72988807,0.008497015456669033,1.909149235950854e-06,1.0
